session_id,idx,time_ms,map_id,position_x,position_y,position_z
Analytics_Data_Attempt_1,5792,152000,Cidades-Inteligentes-01-Superficie _Legado,0.88,17.56,54.8
Analytics_Data_Attempt_1,5858,153000,Cidades-Inteligentes-01-Superficie _Legado,9.83,15.31,55.83
Analytics_Data_Attempt_1,5936,154000,Cidades-Inteligentes-01-Superficie _Legado,18.88,13.03,56.24
Analytics_Data_Attempt_1,6021,155000,Cidades-Inteligentes-01-Superficie _Legado,27.64,11.66,57.56
Analytics_Data_Attempt_1,6110,156000,Cidades-Inteligentes-01-Superficie _Legado,32.85,11.66,63.15
Analytics_Data_Attempt_1,6196,157000,Cidades-Inteligentes-01-Superficie _Legado,31.73,11.66,72.04
Analytics_Data_Attempt_1,6281,158000,Cidades-Inteligentes-01-Superficie _Legado,28.42,11.66,80.42
Analytics_Data_Attempt_1,6368,159000,Cidades-Inteligentes-01-Superficie _Legado,25.34,11.66,85.91
Analytics_Data_Attempt_1,6455,160000,Cidades-Inteligentes-01-Superficie _Legado,32.16,11.66,81.34
Analytics_Data_Attempt_1,6535,161000,Cidades-Inteligentes-01-Superficie _Legado,33.2,11.66,74.76
Analytics_Data_Attempt_1,6620,162000,Cidades-Inteligentes-01-Superficie _Legado,26.8,11.66,77.65
Analytics_Data_Attempt_1,6690,163000,Cidades-Inteligentes-01-Superficie _Legado,21.49,11.66,81.27
Analytics_Data_Attempt_1,6763,164000,Cidades-Inteligentes-01-Superficie _Legado,23.34,11.66,81.49
Analytics_Data_Attempt_1,6844,165000,Cidades-Inteligentes-01-Superficie _Legado,21.33,11.66,81.45
Analytics_Data_Attempt_1,6925,166000,Cidades-Inteligentes-01-Superficie _Legado,22.98,11.66,81.92
Analytics_Data_Attempt_1,6938,167000,Cidades-Inteligentes-01-Superficie _Legado,23.83,11.66,82.68
Analytics_Data_Attempt_1,6975,168000,Cidades-Inteligentes-01-Superficie _Legado,25.34,11.66,82.26
Analytics_Data_Attempt_1,7011,169000,Cidades-Inteligentes-01-Superficie _Legado,27.64,11.66,81.78
Analytics_Data_Attempt_1,7055,170000,Cidades-Inteligentes-01-Superficie _Legado,29.88,11.66,79.55
Analytics_Data_Attempt_1,7140,171000,Cidades-Inteligentes-01-Superficie _Legado,25.63,11.66,77.9
Analytics_Data_Attempt_1,7182,172000,Cidades-Inteligentes-02-Periferia,16.8,-98.56,69.9
Analytics_Data_Attempt_1,7210,173000,Cidades-Inteligentes-02-Periferia,17.17,-98.56,68.18
Analytics_Data_Attempt_1,7323,174000,Cidades-Inteligentes-02-Periferia,15.8,-98.56,57.58
Analytics_Data_Attempt_1,7434,175000,Cidades-Inteligentes-02-Periferia,13.2,-98.56,47.1
Analytics_Data_Attempt_1,7531,176000,Cidades-Inteligentes-02-Periferia,8.85,-98.56,45.24
Analytics_Data_Attempt_1,7585,197000,Cidades-Inteligentes-02-Periferia,6.41,-98.56,45.19
Analytics_Data_Attempt_1,7694,198000,Cidades-Inteligentes-02-Periferia,11.79,-98.56,43.48
Analytics_Data_Attempt_1,7798,199000,Cidades-Inteligentes-02-Periferia,14.48,-98.56,35.53
Analytics_Data_Attempt_1,7904,200000,Cidades-Inteligentes-02-Periferia,12.95,-98.56,27.44
Analytics_Data_Attempt_1,7976,201000,Cidades-Inteligentes-02-Periferia,11.08,-98.56,27.43
Analytics_Data_Attempt_1,8012,202000,Cidades-Inteligentes-02-Periferia,9.49,-98.56,25.48
Analytics_Data_Attempt_1,8121,203000,Cidades-Inteligentes-02-Periferia,11.9,-98.56,16.26
